initials,name,city,state,latitude,longitude
CZS,Cruzeiro do Sul International Airport,Cruzeiro do Sul,Acre,-7.598349,-72.77343
RBR,Plácido de Castro International Airport,Rio Branco,Acre,-9.85848,-67.89590
MCZ,Zumbi dos Palmares International Airport,Rio Largo,Alagoas,-9.511861,-35.793182
MCP,Alberto Alcolumbre International Airport,Macapá,Amapá,0.0500081,-51.06711
MAO,Eduardo Gomes International Airport,Manaus,Amazonas,-3.0358474,-60.046326
TBT,Tabatinga International Airport,Tabatinga,Amazonas,-4.25038,-69.93939
SSA,Deputado Luís Eduardo Magalhães International Airport,Salvador,Bahia,-12.911098,-38.33124
FOR,Pinto Martins – Fortaleza International Airport,Fortaleza,Ceará,-3.7771554,-38.533096
BSB,Brasília International Airport (Presidente J. Kubitschek Int'l Airport),Brasília,Distrito Federal,-15.869737,-47.917236
VIX,Eurico de Aguiar Salles Airport,Vitória,Espírito Santo,-20.257648,-40.283535
GYN,Santa Genoveva Airport,Goiânia,Goiás,-16.632303,-49.216347
SLZ,Marechal Cunha Machado International Airport,São Luís,Maranhão,-2.5849926,-44.23488
CGB,Marechal Rondon International Airport,Várzea Grande,Mato Grosso,-15.653079,-56.117268
CGR,Campo Grande International Airport,Campo Grande,Mato Grosso do Sul,-20.468693,-54.67412
CMG,Corumbá International Airport,Corumbá,Mato Grosso do Sul,-19.013786,-57.66343
PMG,Ponta Porã International Airport,Ponta Porã,Mato Grosso do Sul,-22.549639,-55.702614
CNF,Tancredo Neves International Airport (Confins Int'l Airport),Confins,Minas Gerais,-19.634098,-43.965397
BEL,Val de Cans International Airport,Belém,Pará,-1.3820615,-48.477524
STM,Santarém-Maestro Wilson Fonseca Airport,Santarém,Pará,-2.4248295,-54.786243
JPA,Presidente Castro Pinto International Airport,João Pessoa,Paraíba,-7.146009,-34.948776
CWB,Afonso Pena International Airport,São José dos Pinhais,Paraná,-25.532713,-49.17248
IGU,Foz do Iguaçu International Airport,Foz do Iguaçu,Paraná,-25.59771,-54.488514
REC,Recife/Guararapes–Gilberto Freyre International Airport,Recife,Pernambuco,-8.125932,-34.924015
PHB,Parnaíba-Prefeito Dr. João Silva Filho International Airport,Parnaíba,Piauí,-2.895248,-41.729797
THE,Teresina–Senador Petrônio Portella Airport,Teresina,Piauí,-5.063463,-42.82119
GIG,Rio de Janeiro–Galeão International Airport,Rio de Janeiro,Rio de Janeiro,-22.805265,-43.25663
CFB,Cabo Frio International Airport,Cabo Frio,Rio de Janeiro,-22.925629,-42.079235
NAT,São Gonçalo do Amarante–Governador Aluízio Alves International Airport,São Gonçalo do Amarante,Rio Grande do Norte,-5.7679067,-35.364033
POA,Salgado Filho International Airport,Porto Alegre,Rio Grande do Sul,-29.993473,-51.17538
BGX,Comandante Gustavo Kraemer Airport,Bagé,Rio Grande do Sul,-31.389591,-54.11207
PET,João Simões Lopes Neto International Airport,Pelotas,Rio Grande do Sul,-31.715822,-52.33069
URG,Rubem Berta International Airport,Uruguaiana,Rio Grande do Sul,-29.783995,-57.0357
PVH,Governador Jorge Teixeira de Oliveira International Airport,Porto Velho,Rondônia,-8.71417,-63.89832
BVB,Boa Vista International Airport,Boa Vista,Roraima,2.8419237,-60.69259
FLN,Hercílio Luz International Airport,Florianópolis,Santa Catarina,-27.670118,-48.545967
NVT,Navegantes–Ministro Victor Konder International Airport,Navegantes,Santa Catarina,-26.880535,-48.649086
GRU,São Paulo–Guarulhos International Airport,Guarulhos,São Paulo,-23.430573,-46.47304
VCP,Viracopos/Campinas International Airport,Campinas,São Paulo,-23.008205,-47.13757
QSC,Mário Pereira Lopes Airport,São Carlos,São Paulo,-21.87670,-47.90684
AJU,Santa Maria Airport,Aracaju,Sergipe,-10.98412,-37.07328
